"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.266969667E0,-1.074819863E-1,-2.892427146E-2,-1.375770569E-1
3.276914667E0,-8.940844238E-2,-2.637615986E-2,-1.253001690E-1
3.286859667E0,-4.079458117E-2,-1.537554804E-2,-1.094767004E-1
3.296803667E0,1.531662419E-2,1.458767802E-2,-8.886995912E-2
3.306748667E0,6.255108118E-2,2.929051220E-2,-7.622032613E-2
3.316693667E0,8.924128860E-2,2.717516571E-2,-6.171355397E-2
3.326637667E0,1.012064219E-1,2.523942851E-2,-3.958176076E-2
3.336582667E0,1.157781780E-1,1.778098010E-2,-2.190689743E-2
3.346527667E0,1.326331347E-1,-3.876455361E-3,-1.365718804E-2
3.356468292E0,1.409914643E-1,-1.359832566E-2,-7.791575976E-3
3.366413292E0,1.371785402E-1,-5.437438376E-3,-1.317720953E-2
3.376358292E0,1.223535165E-1,8.143018931E-5,-2.715640888E-2
3.386302292E0,1.022937000E-1,8.102487773E-3,-4.519305751E-2
3.396247292E0,7.787118107E-2,7.245482877E-3,-7.139110565E-2
3.406192292E0,5.205282941E-2,-9.553122334E-3,-8.845853806E-2
3.416136292E0,3.726376221E-2,-1.494788844E-2,-9.662325680E-2
3.426081292E0,2.909209579E-2,-9.821780957E-3,-9.776685387E-2
3.436026292E0,2.988571860E-2,1.303574303E-3,-9.807124734E-2
3.445970292E0,3.003120795E-2,1.045545377E-2,-9.251718968E-2
3.455915292E0,2.615204640E-2,1.222672220E-2,-8.411784470E-2
3.465860292E0,2.924018353E-2,2.252082527E-2,-8.427502960E-2
3.475804292E0,3.485785425E-2,2.651929483E-2,-9.104745090E-2
3.485749292E0,2.979836985E-2,2.506261319E-2,-1.008402407E-1
3.495694292E0,2.981088683E-2,2.551401965E-2,-1.103575826E-1
3.505638292E0,2.804964036E-2,4.513667896E-2,-1.291794330E-1
3.515583292E0,2.357100323E-2,4.608662799E-2,-1.461730599E-1
3.525528292E0,3.507843707E-3,2.935040183E-2,-1.611268520E-1
